,Drug,Model,Metric,Score
322,Crack,KNN,Precision,0.12121212121212122
323,Crack,KNN,Recall,0.3157894736842105
324,Crack,KNN,Accuracy,0.760593220338983
325,Crack,KNN,F1_Score,0.17518248175182483
326,Crack,KNN,AUC,0.5576643220955615
327,Crack,Decision_Tree,Precision,0.14925373134328357
328,Crack,Decision_Tree,Recall,0.2631578947368421
329,Crack,Decision_Tree,Accuracy,0.8199152542372882
330,Crack,Decision_Tree,F1_Score,0.19047619047619044
331,Crack,Decision_Tree,AUC,0.565910744603444
332,Crack,Random_Forest,Precision,0.1111111111111111
333,Crack,Random_Forest,Recall,0.07894736842105263
334,Crack,Random_Forest,Accuracy,0.875
335,Crack,Random_Forest,F1_Score,0.09230769230769231
336,Crack,Random_Forest,AUC,0.6684756245452341
337,Crack,SVC,Precision,0.16279069767441862
338,Crack,SVC,Recall,0.5526315789473685
339,Crack,SVC,Accuracy,0.7351694915254238
340,Crack,SVC,F1_Score,0.251497005988024
341,Crack,SVC,AUC,0.7347804996361872
342,Crack,Linear_SVC,Precision,0.18055555555555555
343,Crack,Linear_SVC,Recall,0.6842105263157895
344,Crack,Linear_SVC,Accuracy,0.7245762711864406
345,Crack,Linear_SVC,F1_Score,0.2857142857142857
346,Crack,SGD,Precision,0.16083916083916083
347,Crack,SGD,Recall,0.6052631578947368
348,Crack,SGD,Accuracy,0.7139830508474576
349,Crack,SGD,F1_Score,0.2541436464088398
350,Crack,SGD,AUC,0.7462406015037595
351,Ecstacy,Logistic_Regression,Precision,0.6568627450980392
352,Ecstacy,Logistic_Regression,Recall,0.7204301075268817
353,Ecstacy,Logistic_Regression,Accuracy,0.7415254237288136
354,Ecstacy,Logistic_Regression,F1_Score,0.6871794871794871
355,Ecstacy,Logistic_Regression,AUC,0.8162455823746146
356,Ecstacy,NB_Gaussian,Precision,0.42992874109263657
357,Ecstacy,NB_Gaussian,Recall,0.9731182795698925
358,Ecstacy,NB_Gaussian,Accuracy,0.4809322033898305
359,Ecstacy,NB_Gaussian,F1_Score,0.5963756177924218
360,Ecstacy,NB_Gaussian,AUC,0.7498214151439959
361,Ecstacy,KNN,Precision,0.5902439024390244
362,Ecstacy,KNN,Recall,0.6505376344086021
363,Ecstacy,KNN,Accuracy,0.684322033898305
364,Ecstacy,KNN,F1_Score,0.6189258312020459
365,Ecstacy,KNN,AUC,0.6784156703511541
366,Ecstacy,Decision_Tree,Precision,0.5355191256830601
367,Ecstacy,Decision_Tree,Recall,0.5268817204301075
368,Ecstacy,Decision_Tree,Accuracy,0.6334745762711864
369,Ecstacy,Decision_Tree,F1_Score,0.5311653116531165
370,Ecstacy,Decision_Tree,AUC,0.6148394616136552
371,Ecstacy,Random_Forest,Precision,0.6578947368421053
372,Ecstacy,Random_Forest,Recall,0.6720430107526881
373,Ecstacy,Random_Forest,Accuracy,0.7330508474576272
374,Ecstacy,Random_Forest,F1_Score,0.6648936170212766
375,Ecstacy,Random_Forest,AUC,0.799778178810437
376,Ecstacy,SVC,Precision,0.6431718061674009
377,Ecstacy,SVC,Recall,0.7849462365591398
378,Ecstacy,SVC,Accuracy,0.7436440677966102
379,Ecstacy,SVC,F1_Score,0.7070217917675546
380,Ecstacy,SVC,AUC,0.8163113767952477
381,Ecstacy,Linear_SVC,Precision,0.6649746192893401
382,Ecstacy,Linear_SVC,Recall,0.7043010752688172
383,Ecstacy,Linear_SVC,Accuracy,0.7436440677966102
384,Ecstacy,Linear_SVC,F1_Score,0.6840731070496084
385,Ecstacy,SGD,Precision,0.584
386,Ecstacy,SGD,Recall,0.7849462365591398
387,Ecstacy,SGD,Accuracy,0.6949152542372882
388,Ecstacy,SGD,F1_Score,0.6697247706422018
389,Ecstacy,SGD,AUC,0.8004925182344538
390,Heroin,Logistic_Regression,Precision,0.2867132867132867
391,Heroin,Logistic_Regression,Recall,0.7592592592592593
392,Heroin,Logistic_Regression,Accuracy,0.7563559322033898
393,Heroin,Logistic_Regression,F1_Score,0.41624365482233505
394,Heroin,Logistic_Regression,AUC,0.8341307814992026
395,Heroin,NB_Gaussian,Precision,0.12531969309462915
396,Heroin,NB_Gaussian,Recall,0.9074074074074074
397,Heroin,NB_Gaussian,Accuracy,0.2648305084745763
398,Heroin,NB_Gaussian,F1_Score,0.22022471910112357
399,Heroin,NB_Gaussian,AUC,0.7399432925748717
400,Heroin,KNN,Precision,0.18604651162790697
401,Heroin,KNN,Recall,0.2962962962962963
402,Heroin,KNN,Accuracy,0.7711864406779662
403,Heroin,KNN,F1_Score,0.22857142857142856
404,Heroin,KNN,AUC,0.5644160907318803
405,Heroin,Decision_Tree,Precision,0.25
406,Heroin,Decision_Tree,Recall,0.25925925925925924
407,Heroin,Decision_Tree,Accuracy,0.826271186440678
408,Heroin,Decision_Tree,F1_Score,0.2545454545454545
409,Heroin,Decision_Tree,AUC,0.5793903951798689
410,Heroin,Random_Forest,Precision,0.48148148148148145
411,Heroin,Random_Forest,Recall,0.24074074074074073
412,Heroin,Random_Forest,Accuracy,0.8834745762711864
413,Heroin,Random_Forest,F1_Score,0.3209876543209876
414,Heroin,Random_Forest,AUC,0.7942805245436825
415,Heroin,SVC,Precision,0.2677165354330709
416,Heroin,SVC,Recall,0.6296296296296297
417,Heroin,SVC,Accuracy,0.760593220338983
418,Heroin,SVC,F1_Score,0.3756906077348066
419,Heroin,SVC,AUC,0.8129984051036683
420,Heroin,Linear_SVC,Precision,0.2753623188405797
421,Heroin,Linear_SVC,Recall,0.7037037037037037
422,Heroin,Linear_SVC,Accuracy,0.7542372881355932
423,Heroin,Linear_SVC,F1_Score,0.3958333333333333
424,Heroin,SGD,Precision,0.2585034013605442
425,Heroin,SGD,Recall,0.7037037037037037
426,Heroin,SGD,Accuracy,0.7351694915254238
